id_cli,nomb_cli,apell_cli,tip_doc,num_doc,fec_nac,fec_alta,cod_segmento,score_buro,ciudad_res,depto_res,estado_cli,canal_adquis,_ingest_timestamp,_source_system,_batch_id,_ingest_year,_ingest_month,_ingest_day
5001,Miguel,Gonzalez,PEP,1000005000,1986-03-02T00:00:00.000Z,2024-08-07T00:00:00.000Z,P,443,Lima,,Activo,CORRESPONSAL,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5002,Carlos,Hernandez,CE,1000005001,1957-02-12T00:00:00.000Z,2024-09-27T00:00:00.000Z,B,856,Lima,Metropolitana,Activo,WEB,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5003,Maria,Lopez,CC,1000005002,1983-05-21T00:00:00.000Z,2025-05-27T00:00:00.000Z,E,327,Santiago,Buenos Aires,Activo,APP_MOBILE,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5004,Laura,Rodriguez,CE,1000005003,1953-03-22T00:00:00.000Z,2026-01-13T00:00:00.000Z,S,878,Buenos Aires,Lima,Activo,APP_MOBILE,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5005,Juan,Hernandez,PEP,1000005004,1998-12-02T00:00:00.000Z,2024-05-09T00:00:00.000Z,P,543,Bogotá,Jalisco,Inactivo,CORRESPONSAL,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5006,Maria,Rodriguez,CC,1000005005,1990-07-26T00:00:00.000Z,2025-01-08T00:00:00.000Z,B,565,Bogotá,Cundinamarca,Activo,WEB,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5007,Pedro,Garcia,CE,1000005006,1997-08-23T00:00:00.000Z,2025-05-05T00:00:00.000Z,E,350,Santiago,Metropolitana,Activo,WEB,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5008,Ana,Gonzalez,CC,1000005007,1974-10-20T00:00:00.000Z,2025-03-17T00:00:00.000Z,B,408,CDMX,Jalisco,Activo,APP_MOBILE,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5009,Pedro,Garcia,CE,1000005008,1963-07-30T00:00:00.000Z,2025-12-17T00:00:00.000Z,S,697,Santiago,Lima,Inactivo,WEB,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5010,Ana,Hernandez,PEP,1000005009,1998-09-18T00:00:00.000Z,2024-08-14T00:00:00.000Z,S,634,Bogotá,Buenos Aires,Inactivo,WEB,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5011,Pedro,Lopez,CE,1000005010,1990-12-20T00:00:00.000Z,2025-03-26T00:00:00.000Z,P,433,Medellín,Jalisco,Activo,APP_MOBILE,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5012,Carlos,Rodriguez,CC,1000005011,1989-09-19T00:00:00.000Z,2025-01-13T00:00:00.000Z,S,379,Santiago,Metropolitana,Activo,APP_MOBILE,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5013,Maria,Gonzalez,PEP,1000005012,1966-03-17T00:00:00.000Z,2024-06-25T00:00:00.000Z,S,637,Medellín,Jalisco,Activo,APP_MOBILE,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5014,Ana,Garcia,CE,1000005013,1952-06-20T00:00:00.000Z,2026-01-26T00:00:00.000Z,P,731,Medellín,Buenos Aires,Activo,CORRESPONSAL,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5015,Juan,Hernandez,CE,1000005014,1961-11-16T00:00:00.000Z,2025-07-25T00:00:00.000Z,B,780,Guadalajara,Metropolitana,Activo,APP_MOBILE,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5016,Maria,Garcia,CE,1000005015,2003-11-23T00:00:00.000Z,2024-09-19T00:00:00.000Z,P,588,Medellín,Lima,Activo,APP_MOBILE,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5017,Juan,Rodriguez,CE,1000005016,1980-07-20T00:00:00.000Z,2024-08-09T00:00:00.000Z,P,894,Buenos Aires,Cundinamarca,Activo,WEB,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5018,Maria,Rodriguez,PEP,1000005017,1955-02-27T00:00:00.000Z,2025-06-05T00:00:00.000Z,E,401,Bogotá,Buenos Aires,Activo,WEB,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5019,Maria,Lopez,PEP,1000005018,2000-06-24T00:00:00.000Z,2026-01-29T00:00:00.000Z,S,630,Bogotá,Jalisco,Inactivo,APP_MOBILE,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5020,Pedro,Gonzalez,CE,1000005019,1996-10-16T00:00:00.000Z,2025-09-06T00:00:00.000Z,S,675,Bogotá,Lima,Activo,APP_MOBILE,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5021,Ana,Martinez,PEP,1000005020,1949-06-07T00:00:00.000Z,2024-09-17T00:00:00.000Z,B,530,Buenos Aires,Metropolitana,Inactivo,WEB,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5022,Ana,Garcia,CC,1000005021,1957-12-06T00:00:00.000Z,2024-10-17T00:00:00.000Z,S,750,Bogotá,Metropolitana,Activo,APP_MOBILE,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5023,Miguel,Rodriguez,PEP,1000005022,1962-04-16T00:00:00.000Z,2025-07-29T00:00:00.000Z,B,620,CDMX,Metropolitana,Activo,CORRESPONSAL,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5024,Maria,Hernandez,CC,1000005023,1989-08-22T00:00:00.000Z,2024-09-22T00:00:00.000Z,E,723,Bogotá,Jalisco,Activo,APP_MOBILE,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5025,Carlos,Garcia,CC,1000005024,1987-03-26T00:00:00.000Z,2025-01-25T00:00:00.000Z,B,324,Santiago,Buenos Aires,Inactivo,WEB,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5026,Carlos,Lopez,PEP,1000005025,1968-02-18T00:00:00.000Z,2025-10-27T00:00:00.000Z,B,868,CDMX,Lima,Activo,CORRESPONSAL,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5027,Juan,Lopez,CE,1000005026,1955-11-01T00:00:00.000Z,2025-02-10T00:00:00.000Z,E,715,Lima,Metropolitana,Activo,APP_MOBILE,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5028,Juan,Rodriguez,PEP,1000005027,1996-06-14T00:00:00.000Z,2025-02-12T00:00:00.000Z,P,601,Bogotá,Cundinamarca,Activo,WEB,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5029,Pedro,Rodriguez,CC,1000005028,1959-02-24T00:00:00.000Z,2024-08-07T00:00:00.000Z,E,399,Guadalajara,Buenos Aires,Activo,WEB,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5030,Maria,Rodriguez,CC,1000005029,1993-06-11T00:00:00.000Z,2025-11-15T00:00:00.000Z,S,687,Lima,Lima,Activo,WEB,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5031,Juan,Martinez,PEP,1000005030,1956-12-20T00:00:00.000Z,2024-11-07T00:00:00.000Z,S,418,Lima,Lima,Activo,WEB,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5032,Juan,Rodriguez,CC,1000005031,1974-01-04T00:00:00.000Z,2024-10-08T00:00:00.000Z,E,891,Buenos Aires,Metropolitana,Activo,CORRESPONSAL,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5033,Laura,Garcia,PEP,1000005032,1999-12-11T00:00:00.000Z,2025-10-27T00:00:00.000Z,B,630,Santiago,Cundinamarca,Activo,APP_MOBILE,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5034,Maria,Garcia,PEP,1000005033,1998-06-30T00:00:00.000Z,2025-03-29T00:00:00.000Z,E,658,Medellín,Metropolitana,Activo,APP_MOBILE,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5035,Pedro,Gonzalez,CE,1000005034,1965-12-14T00:00:00.000Z,2025-03-31T00:00:00.000Z,S,425,Santiago,Buenos Aires,Activo,APP_MOBILE,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5036,Juan,Hernandez,CC,1000005035,1958-02-16T00:00:00.000Z,2024-08-14T00:00:00.000Z,E,588,Lima,Jalisco,Activo,APP_MOBILE,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5037,Pedro,Rodriguez,PEP,1000005036,1966-02-06T00:00:00.000Z,2025-05-26T00:00:00.000Z,B,852,Buenos Aires,Buenos Aires,Activo,WEB,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5038,Ana,Garcia,CC,1000005037,1994-03-02T00:00:00.000Z,2024-07-16T00:00:00.000Z,S,739,CDMX,Cundinamarca,Activo,CORRESPONSAL,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5039,Pedro,Garcia,PEP,1000005038,1957-03-27T00:00:00.000Z,2024-09-26T00:00:00.000Z,P,874,Guadalajara,Jalisco,Activo,WEB,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5040,Carlos,Garcia,PEP,1000005039,2002-03-02T00:00:00.000Z,2025-10-06T00:00:00.000Z,E,640,Bogotá,Lima,Activo,CORRESPONSAL,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5041,Carlos,Martinez,CE,1000005040,1984-06-05T00:00:00.000Z,2024-09-30T00:00:00.000Z,E,503,Medellín,Metropolitana,Activo,APP_MOBILE,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5042,Pedro,Hernandez,PEP,1000005041,1971-09-20T00:00:00.000Z,2025-02-23T00:00:00.000Z,E,478,CDMX,Buenos Aires,Inactivo,WEB,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5043,Carlos,Lopez,CE,1000005042,1992-12-20T00:00:00.000Z,2025-12-23T00:00:00.000Z,E,645,Bogotá,Metropolitana,Activo,WEB,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5044,Ana,Garcia,CC,1000005043,1991-03-27T00:00:00.000Z,2024-10-21T00:00:00.000Z,S,404,Lima,Buenos Aires,Activo,APP_MOBILE,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5045,Maria,Rodriguez,CE,1000005044,1993-12-20T00:00:00.000Z,2026-02-26T00:00:00.000Z,B,612,Buenos Aires,Metropolitana,Activo,CORRESPONSAL,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5046,Carlos,Garcia,CE,1000005045,1984-05-09T00:00:00.000Z,2025-04-01T00:00:00.000Z,P,385,Guadalajara,Jalisco,Activo,CORRESPONSAL,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5047,Carlos,Hernandez,CC,1000005046,1956-05-17T00:00:00.000Z,2024-12-29T00:00:00.000Z,E,740,Buenos Aires,Metropolitana,Activo,CORRESPONSAL,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5048,Pedro,Lopez,CE,1000005047,1975-07-05T00:00:00.000Z,2024-06-17T00:00:00.000Z,S,779,Medellín,Cundinamarca,Bloqueado,WEB,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5049,Ana,Martinez,CE,1000005048,1999-03-03T00:00:00.000Z,2025-03-25T00:00:00.000Z,E,627,Medellín,Cundinamarca,Bloqueado,WEB,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5050,Miguel,Gonzalez,PEP,1000005049,1976-07-21T00:00:00.000Z,2024-06-28T00:00:00.000Z,P,550,Santiago,Metropolitana,Inactivo,WEB,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5051,Miguel,Rodriguez,CE,1000005050,1957-06-24T00:00:00.000Z,2025-10-31T00:00:00.000Z,E,781,Medellín,Lima,Activo,CORRESPONSAL,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5052,Miguel,Gonzalez,PEP,1000005051,1957-10-27T00:00:00.000Z,2024-09-26T00:00:00.000Z,B,303,Santiago,Cundinamarca,Activo,WEB,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5053,Miguel,Martinez,CE,1000005052,1964-08-31T00:00:00.000Z,2025-05-01T00:00:00.000Z,E,483,CDMX,Buenos Aires,Activo,CORRESPONSAL,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5054,Maria,Hernandez,CC,1000005053,2001-09-23T00:00:00.000Z,2025-08-26T00:00:00.000Z,E,599,Medellín,Metropolitana,Activo,APP_MOBILE,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5055,Pedro,Hernandez,CC,1000005054,1952-04-15T00:00:00.000Z,2025-01-24T00:00:00.000Z,E,827,Santiago,Metropolitana,Inactivo,WEB,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5056,Pedro,Martinez,CE,1000005055,1956-10-27T00:00:00.000Z,2024-10-12T00:00:00.000Z,B,455,Bogotá,Cundinamarca,Activo,WEB,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5057,Laura,Garcia,PEP,1000005056,1956-02-07T00:00:00.000Z,2026-02-25T00:00:00.000Z,S,733,Buenos Aires,Lima,Activo,APP_MOBILE,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5058,Ana,Martinez,CE,1000005057,1984-04-07T00:00:00.000Z,2025-11-25T00:00:00.000Z,B,656,Buenos Aires,Buenos Aires,Activo,APP_MOBILE,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5059,Miguel,Rodriguez,PEP,1000005058,1985-11-05T00:00:00.000Z,2024-07-25T00:00:00.000Z,S,827,Lima,Cundinamarca,Bloqueado,CORRESPONSAL,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5060,Maria,Lopez,CE,1000005059,1950-05-12T00:00:00.000Z,2025-02-03T00:00:00.000Z,B,340,Lima,Cundinamarca,Inactivo,APP_MOBILE,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5061,Ana,Gonzalez,CC,1000005060,1962-12-30T00:00:00.000Z,2025-09-15T00:00:00.000Z,B,557,Medellín,Jalisco,Activo,WEB,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5062,Miguel,Gonzalez,CC,1000005061,1963-05-21T00:00:00.000Z,2024-08-27T00:00:00.000Z,E,665,Medellín,Cundinamarca,Activo,APP_MOBILE,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5063,Maria,Hernandez,PEP,1000005062,1970-02-19T00:00:00.000Z,2024-12-15T00:00:00.000Z,B,854,CDMX,Buenos Aires,Activo,APP_MOBILE,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5064,Ana,Garcia,CE,1000005063,1955-02-26T00:00:00.000Z,2024-09-03T00:00:00.000Z,S,365,Guadalajara,Jalisco,Activo,WEB,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5065,Pedro,Hernandez,PEP,1000005064,1983-09-16T00:00:00.000Z,2025-06-29T00:00:00.000Z,S,507,Lima,Lima,Activo,CORRESPONSAL,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5066,Pedro,Rodriguez,CC,1000005065,1996-07-04T00:00:00.000Z,2025-01-31T00:00:00.000Z,S,544,Bogotá,Lima,Activo,WEB,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5067,Juan,Martinez,PEP,1000005066,1995-08-19T00:00:00.000Z,2024-06-16T00:00:00.000Z,S,542,Guadalajara,Cundinamarca,Inactivo,WEB,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5068,Carlos,Gonzalez,CE,1000005067,1969-03-08T00:00:00.000Z,2024-07-04T00:00:00.000Z,B,888,Santiago,Buenos Aires,Activo,APP_MOBILE,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5069,Miguel,Rodriguez,PEP,1000005068,1997-06-15T00:00:00.000Z,2026-02-04T00:00:00.000Z,E,680,Santiago,Lima,Activo,APP_MOBILE,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5070,Laura,Hernandez,CE,1000005069,1954-10-22T00:00:00.000Z,2024-04-03T00:00:00.000Z,P,522,CDMX,Buenos Aires,Activo,WEB,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5071,Ana,Hernandez,CE,1000005070,1997-10-29T00:00:00.000Z,2025-05-12T00:00:00.000Z,S,320,Santiago,Buenos Aires,Bloqueado,APP_MOBILE,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5072,Laura,Gonzalez,CC,1000005071,1974-11-22T00:00:00.000Z,2024-12-01T00:00:00.000Z,B,446,Buenos Aires,Jalisco,Activo,CORRESPONSAL,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5073,Juan,Hernandez,CE,1000005072,1956-03-11T00:00:00.000Z,2025-07-07T00:00:00.000Z,E,667,Santiago,Cundinamarca,Activo,APP_MOBILE,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5074,Carlos,Garcia,CE,1000005073,1971-06-04T00:00:00.000Z,2024-08-29T00:00:00.000Z,B,612,Lima,Buenos Aires,Activo,CORRESPONSAL,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5075,Ana,Hernandez,CE,1000005074,1981-08-17T00:00:00.000Z,2024-10-25T00:00:00.000Z,S,888,Buenos Aires,Buenos Aires,Activo,WEB,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5076,Maria,Lopez,PEP,1000005075,1950-04-01T00:00:00.000Z,2025-02-11T00:00:00.000Z,S,615,Lima,Buenos Aires,Activo,APP_MOBILE,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5077,Miguel,Martinez,CC,1000005076,1992-02-12T00:00:00.000Z,2024-07-24T00:00:00.000Z,E,702,Guadalajara,Cundinamarca,Inactivo,APP_MOBILE,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5078,Carlos,Hernandez,PEP,1000005077,1952-03-06T00:00:00.000Z,2024-04-13T00:00:00.000Z,B,747,Lima,Jalisco,Activo,CORRESPONSAL,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5079,Pedro,Lopez,PEP,1000005078,1983-05-25T00:00:00.000Z,2025-07-12T00:00:00.000Z,S,846,CDMX,Buenos Aires,Bloqueado,CORRESPONSAL,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5080,Juan,Rodriguez,CC,1000005079,1995-08-22T00:00:00.000Z,2024-12-20T00:00:00.000Z,S,425,Guadalajara,Metropolitana,Activo,WEB,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5081,Carlos,Hernandez,PEP,1000005080,1955-06-28T00:00:00.000Z,2025-08-13T00:00:00.000Z,P,795,CDMX,Jalisco,Activo,WEB,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5082,Miguel,Garcia,PEP,1000005081,1949-06-22T00:00:00.000Z,2026-02-25T00:00:00.000Z,P,898,Buenos Aires,Cundinamarca,Activo,WEB,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5083,Carlos,Rodriguez,CE,1000005082,1994-07-26T00:00:00.000Z,2024-09-27T00:00:00.000Z,S,344,Guadalajara,Lima,Activo,,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5084,Miguel,Hernandez,PEP,1000005083,1993-09-12T00:00:00.000Z,2025-04-06T00:00:00.000Z,P,630,Santiago,Buenos Aires,Activo,CORRESPONSAL,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5085,Pedro,Gonzalez,CC,1000005084,1957-10-10T00:00:00.000Z,2024-10-17T00:00:00.000Z,P,371,Medellín,Metropolitana,Activo,,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5086,Ana,Lopez,PEP,1000005085,1983-03-26T00:00:00.000Z,2025-02-02T00:00:00.000Z,S,397,Medellín,Lima,Inactivo,APP_MOBILE,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5087,Maria,Lopez,CE,1000005086,1979-04-15T00:00:00.000Z,2024-03-05T00:00:00.000Z,B,570,Bogotá,Lima,Bloqueado,WEB,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5088,Pedro,Gonzalez,PEP,1000005087,1975-10-15T00:00:00.000Z,2025-01-05T00:00:00.000Z,B,706,Santiago,Buenos Aires,Activo,APP_MOBILE,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5089,Maria,Martinez,CC,1000005088,1971-12-01T00:00:00.000Z,2024-08-09T00:00:00.000Z,B,743,Buenos Aires,Buenos Aires,Activo,WEB,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5090,Ana,Garcia,CE,1000005089,1996-08-04T00:00:00.000Z,2024-10-02T00:00:00.000Z,E,390,Bogotá,Lima,Activo,,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5091,Carlos,Lopez,PEP,1000005090,1985-08-16T00:00:00.000Z,2025-11-02T00:00:00.000Z,B,416,Lima,Metropolitana,Activo,APP_MOBILE,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5092,Maria,Rodriguez,CC,1000005091,2003-11-14T00:00:00.000Z,2024-08-18T00:00:00.000Z,E,813,Lima,Jalisco,Inactivo,APP_MOBILE,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5093,Juan,Garcia,CC,1000005092,2002-09-22T00:00:00.000Z,2024-11-07T00:00:00.000Z,E,342,Bogotá,Buenos Aires,Activo,APP_MOBILE,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5094,Juan,Lopez,PEP,1000005093,1977-08-01T00:00:00.000Z,2026-01-10T00:00:00.000Z,P,370,Lima,Buenos Aires,Activo,CORRESPONSAL,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5095,Miguel,Martinez,PEP,1000005094,1994-11-04T00:00:00.000Z,2024-04-07T00:00:00.000Z,E,443,Santiago,Cundinamarca,Activo,APP_MOBILE,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5096,Pedro,Rodriguez,CE,1000005095,1978-11-22T00:00:00.000Z,2024-10-14T00:00:00.000Z,E,641,CDMX,Buenos Aires,Activo,CORRESPONSAL,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
5097,Ana,Garcia,PEP,1000005096,1981-05-22T00:00:00.000Z,2025-11-27T00:00:00.000Z,E,406,Medellín,Cundinamarca,Activo,CORRESPONSAL,2026-04-01T18:05:33.990Z,SQL_FINBANK,batch_20260401_180517,2026,4,1
